"","subparafascicular thalamic nucleus","posterior hypothalamic area","dorsomedial hypothalamic nucleus, compact part","parvicellular part of ventral posteromedial nucleus","reuniens thalamic nucleus","dorsomedial hypothalamic nucleus, dorsal part"
"subparafascicular thalamic nucleus",179,634,360,158,176,86
"posterior hypothalamic area",953,3216,1778,232,252,350
"dorsomedial hypothalamic nucleus, compact part",390,1289,418,153,183,192
"parvicellular part of ventral posteromedial nucleus",181,210,166,0,14,52
"reuniens thalamic nucleus",234,258,232,18,0,97
"dorsomedial hypothalamic nucleus, dorsal part",90,278,178,48,77,24
