0,5,6,4,7,12,3,3,22,1,1,3,10,3,16,1,6,2,11,5,4,1,8,8,19,7,9,2,4,5,2
6,0,17,22,19,29,14,17,36,18,14,8,32,17,25,3,23,11,66,17,15,14,19,17,25,19,41,17,27,31,9
6,17,0,20,15,20,7,18,26,19,11,3,26,22,21,3,8,11,26,24,11,1,17,11,20,23,20,15,22,9,3
4,16,20,0,20,14,8,19,24,18,11,5,28,23,30,4,13,7,13,16,15,7,23,20,28,26,15,11,14,21,7
7,19,17,21,0,24,8,19,25,24,20,7,29,30,22,6,15,6,11,18,17,0,22,20,29,22,11,12,23,22,3
14,35,28,20,29,0,33,43,26,20,40,32,29,22,21,26,38,36,41,28,45,13,23,21,22,19,45,27,30,23,44
3,14,7,8,7,28,0,0,15,7,10,8,18,7,27,3,2,9,14,4,12,7,29,15,22,12,18,5,14,12,3
3,14,15,19,18,30,0,0,12,23,13,5,27,20,19,3,20,13,14,29,19,11,23,26,11,27,20,10,17,13,5
19,38,30,28,21,22,17,17,0,17,21,29,34,21,30,18,47,46,35,27,43,23,18,24,7,30,32,24,24,21,29
1,17,14,21,20,18,7,18,16,0,9,0,32,15,31,5,15,8,11,9,6,0,28,31,11,17,9,10,17,18,7
1,16,11,13,18,39,11,14,21,9,0,0,25,19,20,9,8,1,14,2,8,3,25,31,15,17,17,8,13,11,7
3,10,3,5,7,29,8,6,30,1,0,0,15,4,18,0,35,4,13,4,2,2,8,12,11,6,18,4,8,8,2
8,20,25,29,23,33,21,28,25,28,27,15,0,0,26,5,21,11,14,15,11,9,32,41,16,33,18,13,29,22,14
3,18,21,24,27,19,9,23,22,22,21,4,1,0,33,7,13,13,12,23,28,10,27,27,15,26,21,16,40,21,7
17,28,24,24,24,21,24,22,25,28,28,23,24,32,0,19,23,18,26,16,28,13,20,22,11,33,18,16,24,18,22
1,3,3,5,6,24,3,3,18,5,9,0,5,7,18,0,6,3,5,10,5,4,7,11,13,5,2,5,7,8,2
7,21,8,17,16,38,1,23,44,17,10,35,26,14,24,6,0,1,48,13,7,6,16,25,19,24,65,15,48,25,13
2,11,10,7,7,27,8,14,42,8,1,4,15,11,19,3,1,0,22,8,5,2,17,13,27,13,11,10,21,9,2
9,64,27,18,8,42,13,16,39,12,21,13,15,13,26,5,45,23,0,18,18,6,23,30,29,22,2,4,23,20,11
3,18,25,17,22,25,3,22,29,17,1,2,18,24,15,8,10,8,15,0,9,2,23,27,13,21,14,26,24,21,12
5,18,12,17,16,33,15,20,34,5,13,2,13,22,23,5,6,5,25,11,0,5,24,18,28,22,18,14,12,16,6
1,12,1,6,0,8,6,10,17,0,6,2,8,8,12,4,5,1,6,3,5,0,11,10,7,14,15,0,15,4,6
7,15,17,23,21,23,29,24,22,28,32,8,41,28,17,7,13,17,18,23,21,11,0,17,8,21,19,21,23,24,6
7,15,16,22,17,20,15,24,22,27,32,11,41,29,22,10,21,12,17,25,19,9,19,0,8,30,20,18,20,29,5
19,26,23,28,30,24,21,16,11,17,17,10,18,20,10,12,15,29,24,11,31,7,8,11,0,21,23,15,29,25,18
6,15,21,29,19,18,12,25,34,15,15,5,29,23,33,4,19,15,16,17,22,15,21,34,23,0,13,8,18,18,14
9,43,21,17,13,41,16,22,30,9,21,16,17,20,21,2,65,12,2,16,16,18,29,22,20,14,0,3,17,28,20
2,17,13,8,12,22,5,9,20,16,6,4,16,16,16,4,14,9,4,23,13,0,19,19,14,10,2,0,17,19,4
4,33,26,13,22,36,14,22,24,19,17,7,31,39,22,8,45,18,26,24,13,10,30,24,32,20,18,17,0,36,17
5,30,12,21,22,21,14,19,21,19,11,8,28,25,16,7,23,8,27,22,15,4,27,32,28,19,28,21,35,0,8
3,10,3,8,3,44,3,5,29,7,8,2,12,7,22,2,13,2,13,14,6,6,6,7,20,14,21,4,17,9,0
