"","reuniens thalamic nucleus","paraventricular hypothalamic nucleus, posterior","ventromedial hypothalamic nucleus, dorsomedial part"
"reuniens thalamic nucleus",4169,345,692
"paraventricular hypothalamic nucleus, posterior",313,0,42
"ventromedial hypothalamic nucleus, dorsomedial part",656,44,38
