"","ventromedial hypothalamus","dorsomedial hypothalamus","ventromedial thalamus","posterior hypothalamus"
"ventromedial hypothalamus",39.782667,183.751028,26.046387,85.355374
"dorsomedial hypothalamus",168.023477,454.341951,64.014569,322.563211
"ventromedial thalamus",28.300783,66.947227,10.962747,41.029917
"posterior hypothalamus",89.010261,325.00181,39.770223,178.205817
