"","ventromedial thalamus","paraventricular hypothalamus","anterior hypothalamus","dorsomedial hypothalamus"
"ventromedial thalamus",65.863078,121.993911,5.670628,70.325156
"paraventricular hypothalamus",126.769621,305.126309,10.62547,125.406975
"anterior hypothalamus",1.649342,4.313044,0,2.592008
"dorsomedial hypothalamus",70.489821,134.542935,4.182597,45.255868
