"","ventromedial thalamus","paraventricular hypothalamus","anterior hypothalamus","dorsomedial hypothalamus"
"ventromedial thalamus",273.794747,176.700901,69.312872,83.604143
"paraventricular hypothalamus",186.53443,88.615854,39.639216,55.757119
"anterior hypothalamus",64.951243,31.494268,9.452405,21.635109
"dorsomedial hypothalamus",80.720094,53.83431,22.476133,25.474076
