"","ventromedial thalamus","paraventricular hypothalamus","anterior hypothalamus","dorsomedial hypothalamus"
"ventromedial thalamus",55.572637,52.220343,8.447449,33.098915
"paraventricular hypothalamus",43.988581,29.935514,6.889868,18.312009
"anterior hypothalamus",10.778442,12.541079,1.366502,6.824603
"dorsomedial hypothalamus",33.874249,19.170501,6.687574,10.547653
