"";"region";"condition";"NodeDegree";"expID";"Day"
"6";"dorsomedial hypothalamus";"Ongoing";34,76578925;"171207";"Night"
"10";"dorsomedial hypothalamus";"LightON";127,00955425;"171207";"Night"
"14";"dorsomedial hypothalamus";"Ongoing";15,6791955;"171208";"Night"
"19";"dorsomedial hypothalamus";"LightON";136,5612375;"171208";"Night"
"28";"dorsomedial hypothalamus";"Ongoing";83,008538;"180110";"Night"
"32";"dorsomedial hypothalamus";"LightON";188,495129;"180110";"Night"
"41";"dorsomedial hypothalamus";"Ongoing";62,1070575;"180131";"Day"
"45";"dorsomedial hypothalamus";"LightON";197,3921529;"180131";"Day"
"49";"dorsomedial hypothalamus";"Ongoing";141,280381117647;"180221";"Night"
"53";"dorsomedial hypothalamus";"LightON";373,523041352941;"180221";"Night"
"58";"dorsomedial hypothalamus";"Ongoing";58,668694;"180228";"Night"
"64";"dorsomedial hypothalamus";"LightON";209,802820965517;"180228";"Night"
"70";"dorsomedial hypothalamus";"Ongoing";66,7206355;"180302";"Day"
"75";"dorsomedial hypothalamus";"LightON";159,634036;"180302";"Day"
"79";"dorsomedial hypothalamus";"Ongoing";58,2567206857143;"180419";"Day"
"83";"dorsomedial hypothalamus";"LightON";202,527962257143;"180419";"Day"
"87";"dorsomedial hypothalamus";"Ongoing";20,992269;"180420";"Day"
"91";"dorsomedial hypothalamus";"LightON";123,995756;"180420";"Day"
"95";"dorsomedial hypothalamus";"Ongoing";68,7730010526316;"180423";"Day"
"99";"dorsomedial hypothalamus";"LightON";198,089397157895;"180423";"Day"
