"","dorsomedial hypothalamus","posterior hypothalamus","mammillary complex","paraventricular hypothalamus"
"dorsomedial hypothalamus",0,25.315487,21.030933,13.694879
"posterior hypothalamus",25.720016,1633.419547,1784.713348,1213.924195
"mammillary complex",23.484682,1682.797051,1668.708707,1107.206221
"paraventricular hypothalamus",14.749759,1152.285213,1094.027155,649.134257
