"","ventromedial thalamus","dorsomedial hypothalamus","paraventricular hypothalamus","ventromedial hypothalamus"
"ventromedial thalamus",601.102024,676.13403,245.89421,107.634194
"dorsomedial hypothalamus",670.579216,816.742276,339.274711,151.603305
"paraventricular hypothalamus",256.476651,339.369217,95.484067,59.247467
"ventromedial hypothalamus",112.113435,137.680193,54.488822,16.034531
