"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,79.251699,0,83.536324,0,93.742948,222.098255,0
"arcuate hypothalamus",0,0,405.140936,0,0,265.349233,83.032127,113.786209,166.041803
"dorsomedial hypothalamus",111.657684,411.102631,0,0,933.321531,676.761919,506.672091,1914.774159,391.348909
"mammillary complex",0,0,0,0,0,0,0,0,0
"paraventricular hypothalamus",133.368265,0,879.012786,0,0,0,126.819752,2171.716592,0
"posterior hypothalamus",0,275.368307,693.524692,0,0,0,149.962704,209.737123,251.916505
"ventromedial hypothalamus",100.449036,85.839858,494.370354,0,105.108886,143.069345,0,524.099864,77.910382
"ventromedial thalamus",246.059988,115.768267,1885.10566,0,2124.574013,210.566149,522.278875,0,114.396811
"zona incerta",0,167.123854,395.583221,0,0,257.548125,81.227697,122.927356,0
