"","ventromedial thalamus","paraventricular hypothalamus","ventromedial hypothalamus"
"ventromedial thalamus",671.403684,23.282152,91.429325
"paraventricular hypothalamus",24.066385,0,3.017911
"ventromedial hypothalamus",94.49871,3.788107,13.538203
