"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,0,0,0,0,0,0,0
"arcuate hypothalamus",0,0,15.4751,48.267744,15.8063,87.374463,0,0,0
"dorsomedial hypothalamus",0,17.427827,0,412.392313,43.044837,1316.832161,297.168466,315.301131,0
"mammillary complex",0,45.645924,417.552581,0,993.885005,1544.165008,74.852524,0,0
"paraventricular hypothalamus",0,25.054819,45.226902,929.694727,0,891.831518,0,437.094293,0
"posterior hypothalamus",0,92.870767,1354.698902,1560.534232,942.1331,0,163.306226,217.504801,0
"ventromedial hypothalamus",0,0,261.462217,82.84123,0,153.496838,0,48.108936,0
"ventromedial thalamus",0,0,300.599323,0,438.770066,200.147086,43.380342,0,0
"zona incerta",0,0,0,0,0,0,0,0,0
