"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,0,0,0,0,0,0,0
"arcuate hypothalamus",0,0,0,0,0,0,0,0,0
"dorsomedial hypothalamus",0,0,0,0,637.284779,497.25619,382.056161,1088.551865,0
"mammillary complex",0,0,0,0,0,0,0,0,0
"paraventricular hypothalamus",0,0,600.289106,0,0,0,0,1402.194613,0
"posterior hypothalamus",0,0,523.500197,0,0,0,0,0,0
"ventromedial hypothalamus",0,0,353.054889,0,0,0,0,353.961272,0
"ventromedial thalamus",0,0,1051.00207,0,1358.977904,0,338.586345,0,0
"zona incerta",0,0,0,0,0,0,0,0,0
