"","ventromedial thalamus","paraventricular hypothalamus","anterior hypothalamus","dorsomedial hypothalamus"
"ventromedial thalamus",151.311635,414.119204,17.639933,124.116167
"paraventricular hypothalamus",370.642349,836.638011,36.081538,305.576583
"anterior hypothalamus",9.318087,19.533993,0,9.347366
"dorsomedial hypothalamus",133.298572,356.949208,15.132194,93.275342
