0, -0.051922, 0.121318, 0, 0, 0, -0.048882, 0, 0, 0, 0, -0.066406, 0, 0, 0.08743, 0, -0.08538, -0.112342, -0.145089, 0.107207, 0, 0, 0.083814, 0, -0.022352, 0, -0.055063, 0, -0.040015, -0.079938, -0.046358
0, 0, -0.020362, 0.148732, 0, 0, -0.064042, 0.048536, 0.025107, 0, 0, 0.11193, 0, 0.080751, 0.070899, 0, 0.707552, -0.078532, -0.07073, 0, -0.018889, -0.021745, -0.01484, -0.023144, -0.023013, 0.169887, -0.030443, -0.022717, 0, -0.080413, 0.13236
0, 0.101495, 0, 0, 0, 0.037808, 0, 0.041958, 0.029356, 0.05224, 0, 0.150102, 0, 0.08423, 0, 0, 0.304134, 0.163218, 0.109425, 0, 0, 0, 0, 0, 0, 0, -0.026987, -0.033236, 0.100348, -0.018861, 0.224135
0.136842, 0.067417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.010977, 0, 0, 0.074281, 0.154789, 0.085265, 0, 0, 0, 0, 0, 0.069835, 0, 0.059775, -0.013003, 0, 0.110633, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.015067, -0.030585, 0, -0.012103, -0.013591, 0.105574, -0.028686, 0, 0, 0.075173, 0, 0, 0, 0, 0.029566, -0.013885, 0, 0, 0, 0, -0.038768
0, 0.026026, 0.040973, 0, 0.025558, 0, 0, 0.055367, 0.024659, 0.02355, 0, 0, 0.033665, 0, 0, 0, 0, 0, 0.038729, 0.0299, 0, 0, 0.023173, 0, 0.047607, 0, 0.039955, 0.02926, 0, 0.05575, 0
-0.064083, -0.063086, 0, 0.117049, 0.080153, 0.032478, 0, 0, 0, 0, 0.085298, 0, -0.013657, 0, -0.015128, -0.033154, 0.269823, -0.135359, -0.102958, -0.020534, -0.041782, 0, -0.018474, 0, -0.013725, 0.154875, -0.086848, -0.022697, 0, -0.086614, 0.389042
0, 0, 0, 0, 0, 0, 0, 0, 0.019231, 0, 0, 0, 0.032977, 0, 0, 0, 0, 0, 0, 0, -0.014477, 0, 0, 0, 0, 0, 0, 0, -0.010588, 0.068875, 0
0, 0.024502, 0, 0.023798, 0.037727, 0.042479, 0.080087, 0.040727, 0, 0, 0, 0, 0, 0, 0, 0, -0.008633, 0.072957, 0.054327, 0.030825, 0.036304, -0.006391, 0.040342, 0.031969, 0.043145, 0, 0, 0, 0.030647, 0.053775, 0
0, 0, 0, 0, 0, 0.023003, 0, 0, 0, 0, 0, 0.093454, 0, 0, 0, 0, 0.088509, 0, 0, 0, 0, 0, 0, 0, 0.025958, 0, 0, 0, 0, 0, 0
