"","ventromedial thalamus","ventromedial hypothalamus","paraventricular hypothalamus","dorsomedial hypothalamus","anterior hypothalamus"
"ventromedial thalamus",85.489986,92.895298,24.133805,77.862049,52.833667
"ventromedial hypothalamus",103.143011,78.354694,18.553354,56.426245,59.403919
"paraventricular hypothalamus",70.613573,43.52963,12.434058,24.993162,32.032428
"dorsomedial hypothalamus",101.310515,68.05327,21.769485,24.579388,60.821916
"anterior hypothalamus",44.158736,46.857261,0.773959999999999,23.13275,27.306481
