"","posterior hypothalamus","mammillary complex","paraventricular hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus"
"posterior hypothalamus",169.940219,208.69271,70.439415,92.870767,42.585804
"mammillary complex",214.706456,251.530048,64.376789,45.645924,70.423887
"paraventricular hypothalamus",71.499118,61.583252,19.900834,25.054819,23.747722
"arcuate hypothalamus",87.374463,48.267744,15.8063,10.3389,15.4751
"dorsomedial hypothalamus",60.197076,76.020072,24.309696,17.427827,20.733209
