"";"region";"condition";"LocEff";"expID";"Day"
"5";"anterior hypothalamus";"Ongoing";0,0853337541077324;"171207";2
"9";"anterior hypothalamus";"LightON";0,192947309182809;"171207";2
"13";"anterior hypothalamus";"Ongoing";0,236688504867249;"171208";2
"18";"anterior hypothalamus";"LightON";0,252844863456873;"171208";2
"27";"anterior hypothalamus";"Ongoing";0,247396851912606;"180110";2
"31";"anterior hypothalamus";"LightON";0,237364997554851;"180110";2
