"","ventromedial thalamus","posterior hypothalamus","dorsomedial hypothalamus","ventromedial hypothalamus","arcuate hypothalamus","zona incerta"
"ventromedial thalamus",29.622987,113.565521,159.610837,46.627528,75.080473,63.660864
"posterior hypothalamus",134.604004,310.842012,523.500197,112.267099,185.281695,186.932047
"dorsomedial hypothalamus",173.133289,497.25619,774.841957,162.399586,278.596757,290.963363
"ventromedial hypothalamus",44.206116,102.164175,158.948451,23.279389,59.604877,56.259904
"arcuate hypothalamus",80.915513,187.601958,287.090397,61.698051,42.178251,124.299089
"zona incerta",73.41812,187.373575,301.706701,62.875321,122.451623,119.835066
