"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,0,0,0,0,0,0,0
"arcuate hypothalamus",0,0,0,0,0,0,0,0,0
"dorsomedial hypothalamus",0,0,0,412.392313,0,1316.832161,0,0,0
"mammillary complex",0,0,417.552581,0,993.885005,1544.165008,0,0,0
"paraventricular hypothalamus",0,0,0,929.694727,0,891.831518,0,437.094293,0
"posterior hypothalamus",0,0,1354.698902,1560.534232,942.1331,0,0,0,0
"ventromedial hypothalamus",0,0,0,0,0,0,0,0,0
"ventromedial thalamus",0,0,0,0,438.770066,0,0,0,0
"zona incerta",0,0,0,0,0,0,0,0,0
