"","ventromedial hypothalamus","dorsomedial hypothalamus","ventromedial thalamus","posterior hypothalamus"
"ventromedial hypothalamus",12.822388,167.119609,48.108936,72.160682
"dorsomedial hypothalamus",203.141588,1574.097033,152.763674,604.019371
"ventromedial thalamus",43.380342,135.44331,-0.0923820000000006,48.699493
"posterior hypothalamus",87.964653,638.811837,60.29341,205.713531
