"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,-27.728482,0,-36.047147,0,-46.885687,-105.319531,0
"arcuate hypothalamus",0,0,-100.104011,72.665358,12.941889,-35.17594,-21.334076,-32.870696,-41.742714
"dorsomedial hypothalamus",-17.410038,-115.173388,0,202.05613,-281.019817,537.186898,111.732704,-660.605133,-100.385546
"mammillary complex",0,72.148838,195.323099,0,220.598467,975.594691,43.085487,0,0
"paraventricular hypothalamus",-36.240553,12.036541,-264.102932,275.095048,0,381.276865,-21.024744,-639.804291,0
"posterior hypothalamus",0,-49.348109,535.891535,1079.021777,391.16569,0,123.092462,42.473636,-64.984458
"ventromedial hypothalamus",-41.045117,-26.234981,111.913761,37.230515,-28.278603,112.476248,0,-144.092205,-21.650478
"ventromedial thalamus",-111.944144,-40.687794,-667.11419,0,-615.604666,37.695278,-155.391747,0,-50.735947
"zona incerta",0,-44.672231,-93.87652,0,0,-70.17455,-18.352376,-49.509236,0
