"";"region";"condition";"ClusCoeff";"expID";"Day"
"43";"posterior hypothalamus";"Ongoing";0,131560158398573;"180131";1
"47";"posterior hypothalamus";"LightON";0,335252531181599;"180131";1
"59";"posterior hypothalamus";"Ongoing";0,0624724603540886;"180228";2
"65";"posterior hypothalamus";"LightON";0,155244913507687;"180228";2
"73";"posterior hypothalamus";"Ongoing";0,105979683560907;"180302";1
"78";"posterior hypothalamus";"LightON";0,230078651587156;"180302";1
"80";"posterior hypothalamus";"Ongoing";0,0716909074854692;"180419";1
"84";"posterior hypothalamus";"LightON";0,140239426353416;"180419";1
"90";"posterior hypothalamus";"Ongoing";0,0971757323003668;"180420";1
"94";"posterior hypothalamus";"LightON";0,287079304141973;"180420";1
"97";"posterior hypothalamus";"Ongoing";0,0900015929822835;"180423";1
"101";"posterior hypothalamus";"LightON";0,19768743812649;"180423";1
