"","ventromedial hypothalamus","mammillary complex","dorsomedial hypothalamus","posterior hypothalamus"
"ventromedial hypothalamus",7.96648,82.84123,94.342608,81.336156
"mammillary complex",74.852524,229.775965,327.331258,303.353196
"dorsomedial hypothalamus",94.026878,320.123587,413.89122,381.478929
"posterior hypothalamus",75.341573,296.327907,411.925826,380.78388
