"","ventromedial thalamus","paraventricular hypothalamus","ventromedial hypothalamus"
"ventromedial thalamus",897.014273,29.933367,117.853154
"paraventricular hypothalamus",31.871122,0,3.117186
"ventromedial hypothalamus",112.277476,3.788107,15.277819
