"","ventromedial hypothalamus","mammillary complex","dorsomedial hypothalamus","posterior hypothalamus"
"ventromedial hypothalamus",17.685101,37.230515,69.478198,68.026044
"mammillary complex",43.085487,104.792705,149.484484,157.307427
"dorsomedial hypothalamus",68.325157,154.704946,199.367096,236.67875
"posterior hypothalamus",71.777806,163.903577,229.281293,201.664081
