"","ventromedial thalamus","dorsomedial hypothalamus","paraventricular hypothalamus","ventromedial hypothalamus"
"ventromedial thalamus",1429.784939,1234.607362,475.633737,200.343457
"dorsomedial hypothalamus",1233.410564,1246.391258,480.975154,218.707671
"paraventricular hypothalamus",498.795412,473.437833,134.903746,75.269932
"ventromedial hypothalamus",203.793769,215.970603,77.072906,23.563225
