"";"region";"condition";"ClusCoeff";"expID";"Day"
"6";"dorsomedial hypothalamus";"Ongoing";0,0978239986951128;"171207";2
"10";"dorsomedial hypothalamus";"LightON";0,252186644407283;"171207";2
"14";"dorsomedial hypothalamus";"Ongoing";0,0359856970343933;"171208";2
"19";"dorsomedial hypothalamus";"LightON";0,23788146182618;"171208";2
"28";"dorsomedial hypothalamus";"Ongoing";0,167001307613412;"180110";2
"32";"dorsomedial hypothalamus";"LightON";0,324812514288504;"180110";2
"41";"dorsomedial hypothalamus";"Ongoing";0,171011051307221;"180131";1
"45";"dorsomedial hypothalamus";"LightON";0,411168483324703;"180131";1
"49";"dorsomedial hypothalamus";"Ongoing";0,201963940397169;"180221";2
"53";"dorsomedial hypothalamus";"LightON";0,453030378662887;"180221";2
"58";"dorsomedial hypothalamus";"Ongoing";0,0582943855916405;"180228";2
"64";"dorsomedial hypothalamus";"LightON";0,150608891951647;"180228";2
"70";"dorsomedial hypothalamus";"Ongoing";0,097733110597327;"180302";1
"75";"dorsomedial hypothalamus";"LightON";0,227790127690692;"180302";1
"79";"dorsomedial hypothalamus";"Ongoing";0,0637197181778413;"180419";1
"83";"dorsomedial hypothalamus";"LightON";0,136677794623098;"180419";1
"87";"dorsomedial hypothalamus";"Ongoing";0,0330522857529655;"180420";1
"91";"dorsomedial hypothalamus";"LightON";0,133232717116183;"180420";1
"95";"dorsomedial hypothalamus";"Ongoing";0,0850320568659515;"180423";1
"99";"dorsomedial hypothalamus";"LightON";0,185483179943705;"180423";1
