"","ventromedial thalamus","posterior hypothalamus","dorsomedial hypothalamus","ventromedial hypothalamus","arcuate hypothalamus","zona incerta"
"ventromedial thalamus",24.928414,97.000628,152.724798,20.736322,40.687794,50.735947
"posterior hypothalamus",75.133119,102.520827,170.024495,37.695605,90.086612,64.984458
"dorsomedial hypothalamus",148.382769,179.505729,246.719528,53.20031,132.505874,100.385546
"ventromedial hypothalamus",21.196789,40.90517,59.29649,9.375517,26.234981,21.650478
"arcuate hypothalamus",32.870696,77.747275,118.050539,21.334076,59.19389,41.742714
"zona incerta",49.509236,70.17455,93.87652,18.352376,44.672231,20.258321
