"","ventromedial thalamus","paraventricular hypothalamus","anterior hypothalamus","dorsomedial hypothalamus"
"ventromedial thalamus",85.448557,292.125293,11.969305,53.791011
"paraventricular hypothalamus",243.872728,531.511702,25.456068,180.169608
"anterior hypothalamus",7.668745,15.220949,0,6.755358
"dorsomedial hypothalamus",62.808751,222.406273,10.949597,48.019474
