"","ventromedial thalamus","posterior hypothalamus","dorsomedial hypothalamus","paraventricular hypothalamus"
"ventromedial thalamus",67.093259,93.665989,100.042173,3.834593
"posterior hypothalamus",77.836532,54.002608,92.564063,0.970968
"dorsomedial hypothalamus",101.602592,101.015835,111.767866,1.730117
"paraventricular hypothalamus",3.332173,0.731935,0.580063,0
