"","ventromedial thalamus","ventromedial hypothalamus","paraventricular hypothalamus","dorsomedial hypothalamus","anterior hypothalamus"
"ventromedial thalamus",181.783537,136.718414,36.222361,97.343438,150.659734
"ventromedial hypothalamus",142.625714,90.48433,24.247873,60.15481,100.449036
"paraventricular hypothalamus",86.464604,48.432634,13.207268,25.929242,50.757643
"dorsomedial hypothalamus",111.954622,72.364524,22.392358,23.649776,67.361783
"anterior hypothalamus",137.050483,93.742948,19.966984,41.444621,75.62979
