"","dorsomedial hypothalamus","posterior hypothalamus","mammillary complex","paraventricular hypothalamus"
"dorsomedial hypothalamus",0,21.704051,16.248654,10.439714
"posterior hypothalamus",22.129962,920.136193,1055.513615,862.890784
"mammillary complex",19.797436,1026.105356,1123.934666,929.508216
"paraventricular hypothalamus",12.68367,812.370034,868.111475,711.097157
