"";"region";"condition";"ClusCoeff";"expID";"Day"
"16";"ventromedial hypothalamus";"Ongoing";0,0751035214125322;"171208";2
"21";"ventromedial hypothalamus";"LightON";0,237018886526452;"171208";2
"36";"ventromedial hypothalamus";"Ongoing";0,0884532324003593;"180111";2
"39";"ventromedial hypothalamus";"LightON";0,25296951736409;"180111";2
"51";"ventromedial hypothalamus";"Ongoing";0,189532476027079;"180221";2
"55";"ventromedial hypothalamus";"LightON";0,429313508778529;"180221";2
"60";"ventromedial hypothalamus";"Ongoing";0,0538077848966449;"180228";2
"66";"ventromedial hypothalamus";"LightON";0,146432211234927;"180228";2
"81";"ventromedial hypothalamus";"Ongoing";0,0805361185094954;"180419";1
"85";"ventromedial hypothalamus";"LightON";0,169834048803045;"180419";1
"98";"ventromedial hypothalamus";"Ongoing";0,115814358998459;"180423";1
"102";"ventromedial hypothalamus";"LightON";0,214759747445651;"180423";1
