"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,51.523217,0,47.489177,0,46.857261,116.778724,0
"arcuate hypothalamus",0,0,287.090397,0,0,187.601958,61.698051,80.915513,124.299089
"dorsomedial hypothalamus",94.247646,278.596757,0,0,637.284779,497.25619,382.056161,1088.551865,290.963363
"mammillary complex",0,0,0,0,0,0,0,0,0
"paraventricular hypothalamus",97.127712,0,600.289106,0,0,0,105.795008,1402.194613,0
"posterior hypothalamus",0,185.281695,523.500197,0,0,0,112.267099,134.604004,186.932047
"ventromedial hypothalamus",59.403919,59.604877,353.054889,0,76.830283,102.164175,0,353.961272,56.259904
"ventromedial thalamus",134.115844,75.080473,1051.00207,0,1358.977904,113.565521,338.586345,0,63.660864
"zona incerta",0,122.451623,301.706701,0,0,187.373575,62.875321,73.41812,0
