"";"region";"condition";"NodeDegree";"expID";"Day"
"71";"mammillary complex";"Ongoing";58,5435483333333;"180302";"Day"
"76";"mammillary complex";"LightON";130,364488888889;"180302";"Day"
"88";"mammillary complex";"Ongoing";111,058566153846;"180420";"Day"
"92";"mammillary complex";"LightON";348,102954;"180420";"Day"
"96";"mammillary complex";"Ongoing";61,0201230666667;"180423";"Day"
"100";"mammillary complex";"LightON";185,312231866667;"180423";"Day"
