"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,0,0,0,0,0,0,0
"arcuate hypothalamus",0,0,33.421628,120.933102,28.748189,129.945798,0,0,0
"dorsomedial hypothalamus",0,34.760313,0,614.448443,58.061772,2033.524788,533.5171,480.918292,0
"mammillary complex",0,117.794762,612.87568,0,1214.483472,2519.759699,117.938011,0,0
"paraventricular hypothalamus",0,37.09136,59.84765,1204.789775,0,1273.108383,0,566.811981,0
"posterior hypothalamus",0,133.60927,2060.614932,2639.556009,1333.29879,0,324.094293,335.111556,0
"ventromedial hypothalamus",0,0,514.691443,120.071745,0,306.878256,0,74.155323,0
"ventromedial thalamus",0,0,467.588723,0,588.761509,334.842992,71.681125,0,0
"zona incerta",0,0,0,0,0,0,0,0,0
