"";"region";"condition";"LocEff";"expID";"Day"
"43";"posterior hypothalamus";"Ongoing";0,188972667223329;"180131";1
"47";"posterior hypothalamus";"LightON";0,345684458386428;"180131";1
"59";"posterior hypothalamus";"Ongoing";0,115368183270344;"180228";2
"65";"posterior hypothalamus";"LightON";0,160034606115518;"180228";2
"73";"posterior hypothalamus";"Ongoing";0,149230215162246;"180302";1
"78";"posterior hypothalamus";"LightON";0,238863728831953;"180302";1
"80";"posterior hypothalamus";"Ongoing";0,107652355647603;"180419";1
"84";"posterior hypothalamus";"LightON";0,154060894760912;"180419";1
"90";"posterior hypothalamus";"Ongoing";0,300841722391579;"180420";1
"94";"posterior hypothalamus";"LightON";0,309151308529778;"180420";1
"97";"posterior hypothalamus";"Ongoing";0,123080184379658;"180423";1
"101";"posterior hypothalamus";"LightON";0,206530059430014;"180423";1
