"","posterior hypothalamus","mammillary complex","paraventricular hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus"
"posterior hypothalamus",325.228231,394.611177,109.600726,133.60927,98.064614
"mammillary complex",376.302025,443.857815,107.277251,117.794762,112.575256
"paraventricular hypothalamus",112.128869,110.76262,24.016122,37.09136,35.722318
"arcuate hypothalamus",129.945798,120.933102,28.748189,32.988741,33.421628
"dorsomedial hypothalamus",113.020471,118.588977,34.341349,34.760313,29.020609
