"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,0,0,0,0,0,0,0
"arcuate hypothalamus",0,0,17.946528,72.665358,12.941889,42.571335,0,0,0
"dorsomedial hypothalamus",0,17.332486,0,202.05613,15.016935,716.692627,236.348634,165.617161,0
"mammillary complex",0,72.148838,195.323099,0,220.598467,975.594691,43.085487,0,0
"paraventricular hypothalamus",0,12.036541,14.620748,275.095048,0,381.276865,0,129.717688,0
"posterior hypothalamus",0,40.738503,705.91603,1079.021777,391.16569,0,160.788067,117.606755,0
"ventromedial hypothalamus",0,0,253.229226,37.230515,0,153.381418,0,26.046387,0
"ventromedial thalamus",0,0,166.9894,0,149.991443,134.695906,28.300783,0,0
"zona incerta",0,0,0,0,0,0,0,0,0
