"","ventromedial thalamus","posterior hypothalamus","dorsomedial hypothalamus","paraventricular hypothalamus"
"ventromedial thalamus",151.535529,245.113582,265.198186,14.785723
"posterior hypothalamus",235.047923,245.192623,331.809536,9.773869
"dorsomedial hypothalamus",264.140049,350.448569,371.462036,10.025544
"paraventricular hypothalamus",14.032761,8.694301,9.375573,0
