"";"region";"condition";"LocEff";"expID";"Day"
"71";"mammillary complex";"Ongoing";0,122421624436738;"180302";1
"76";"mammillary complex";"LightON";0,19402304989131;"180302";1
"88";"mammillary complex";"Ongoing";0,285530236481123;"180420";1
"92";"mammillary complex";"LightON";0,290975109554323;"180420";1
"96";"mammillary complex";"Ongoing";0,117445554184997;"180423";1
"100";"mammillary complex";"LightON";0,19942704308582;"180423";1
