"";"region";"condition";"NodeDegree";"expID";"Day"
"43";"posterior hypothalamus";"Ongoing";43,1627761818182;"180131";"Day"
"47";"posterior hypothalamus";"LightON";151,933911454545;"180131";"Day"
"59";"posterior hypothalamus";"Ongoing";61,5721830555556;"180228";"Night"
"65";"posterior hypothalamus";"LightON";220,029432222222;"180228";"Night"
"73";"posterior hypothalamus";"Ongoing";66,3923689285714;"180302";"Day"
"78";"posterior hypothalamus";"LightON";151,267100857143;"180302";"Day"
"80";"posterior hypothalamus";"Ongoing";83,9428286666667;"180419";"Day"
"84";"posterior hypothalamus";"LightON";212,1679292;"180419";"Day"
"90";"posterior hypothalamus";"Ongoing";140,42432864;"180420";"Day"
"94";"posterior hypothalamus";"LightON";366,06377616;"180420";"Day"
"97";"posterior hypothalamus";"Ongoing";73,9057255;"180423";"Day"
"101";"posterior hypothalamus";"LightON";202,313022555556;"180423";"Day"
