"","anterior hypothalamus","arcuate hypothalamus","dorsomedial hypothalamus","mammillary complex","paraventricular hypothalamus","posterior hypothalamus","ventromedial hypothalamus","ventromedial thalamus","zona incerta"
"anterior hypothalamus",0,0,51.523217,0,47.489177,0,46.857261,116.778724,0
"arcuate hypothalamus",0,0,302.565497,48.267744,15.8063,274.976421,61.698051,80.915513,124.299089
"dorsomedial hypothalamus",94.247646,296.024584,0,412.392313,680.329616,1814.088351,679.224627,1403.852996,290.963363
"mammillary complex",0,45.645924,417.552581,0,993.885005,1544.165008,74.852524,0,0
"paraventricular hypothalamus",97.127712,25.054819,645.516008,929.694727,0,891.831518,105.795008,1839.288906,0
"posterior hypothalamus",0,278.152462,1878.199099,1560.534232,942.1331,0,275.573325,352.108805,186.932047
"ventromedial hypothalamus",59.403919,59.604877,614.517106,82.84123,76.830283,255.661013,0,402.070208,56.259904
"ventromedial thalamus",134.115844,75.080473,1351.601393,0,1797.74797,313.712607,381.966687,0,63.660864
"zona incerta",0,122.451623,301.706701,0,0,187.373575,62.875321,73.41812,0
