animal,condition,neuron_id,region,node_strength,clustering_coefficient,local_efficiency,hub_score,z_score,ei,spikes
day2,ongoing,22,PH,0.0,0.0,0.0,-4.08067625613095e-18,0.489645403871567,E,8648
day2,ongoing,23,PH,-1.309606,1.0,0.409748,0.0874836020925524,-0.114548675602451,I,36128
day2,ongoing,24,PH,-0.501157,0.0,0.0,-4.08067625613095e-18,0.258433808714733,I,9392
day2,ongoing,25,DMH,0.0,0.0,0.0,-4.08067625613095e-18,0.489645403871567,I,6882
day2,ongoing,26,VM-thalamus,-10.294813,0.0833333333333333,0.110652122401303,0.370118282421834,-4.2599243628309,I,184685
day2,ongoing,27,PH,-0.981063,0.0,0.0,-4.08067625613095e-18,0.0370264816987772,E,4208
day2,ongoing,28,DMH,-0.806125,0.0,0.0,0.116353921252127,0.117735109999981,I,9435
day2,ongoing,29,PH,-0.9198,1.0,0.409717,0.111541221836025,0.0652905106439843,E,8758
day2,ongoing,30,DMH,0.0,0.0,0.0,-4.39457442967948e-18,0.489645403871567,E,5054
day2,ongoing,31,DMH,0.0,0.0,0.0,-4.39457442967948e-18,0.489645403871567,E,2937
day3,lightON,1,PH,-1.675073,1.0,0.428831,0.038043387711668,0.0505035422841993,I,431
day3,lightON,2,MC,-3.005651,0.666666666666667,0.340908708955154,0.0041344859182093,-0.460962512280358,E,2050
day3,lightON,3,MC,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,50
day3,lightON,4,MC,-0.641204,0.0,0.0,0.0172279272969784,0.447916469874017,E,2176
day3,lightON,5,MC,-4.635639,0.4,0.284550141475431,0.0223394706379925,-1.08751994171897,E,2619
day3,lightON,6,MC,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,E,0
day3,lightON,7,PH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,E,623
day3,lightON,8,PH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,1
day3,lightON,9,MC,-4.416983,0.4,0.196615020643758,0.011428677068005,-1.00346991111057,I,3646
day3,lightON,10,MC,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,E,11
day3,lightON,11,PH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,276
day3,lightON,12,PH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,E,395
day3,lightON,13,MC,-0.979388,0.0,0.0,-5.74578485781261e-18,0.317920606274243,E,336
day3,lightON,14,MC,-6.82818,0.357142857142857,0.339109842859593,0.0091638934454427,-1.93031930766447,E,3719
day3,lightON,15,MC,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,5
