animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei,ei_old,classifiable
day1,98,0.2470096371882089,0.65,True,0.0,E,unclassified,False
day1,99,0.2175099206349205,0.8,True,1.0,E,unclassified,False
day1,100,0.1892982456140348,0.95,True,1.0,E,unclassified,False
day1,101,0.195851063829787,0.85,True,1.0,E,unclassified,False
day1,102,0.2657575757575756,0.8,True,4.0,E,unclassified,False
day1,103,0.2444602272727273,0.7,True,0.0,E,unclassified,False
day1,104,0.2347222222222221,0.65,True,0.0,E,unclassified,False
day1,105,0.2223990683229814,0.75,True,1.0,E,unclassified,False
day1,106,0.34953125,0.85,True,2.0,E,unclassified,False
day1,107,0.1873263888888889,0.65,True,1.0,E,unclassified,False
day1,108,0.325,0.75,True,2.0,E,unclassified,False
day1,109,0.2107808857808859,0.8,True,1.0,E,unclassified,False
day1,110,0.2666666666666668,0.8,True,4.0,E,unclassified,False
day1,111,0.3531249999999999,0.75,True,2.0,E,unclassified,False
day1,112,0.265625,0.8,True,4.0,E,unclassified,False
day1,113,0.2957983193277311,0.75,True,4.0,E,unclassified,False
day1,114,0.2721875000000001,0.75,True,4.0,E,unclassified,False
day1,115,0.2107236842105262,0.75,True,1.0,E,unclassified,False
day1,116,0.1942424242424241,0.7,True,1.0,E,unclassified,False
day1,117,0.3089285714285715,0.75,True,2.0,E,unclassified,False
day1,118,0.3395833333333332,0.7,True,2.0,E,unclassified,False
day1,119,0.2703176910299003,0.65,True,0.0,E,unclassified,False
day1,120,0.2523674242424242,0.7,True,0.0,E,unclassified,False
day1,121,0.2680124223602487,0.7,True,0.0,E,unclassified,False
day1,122,0.2731601731601731,0.7,True,0.0,E,unclassified,False
day1,123,0.2875,0.7,True,0.0,E,unclassified,False
day1,124,0.279951690821256,0.8,True,4.0,E,unclassified,False
day1,125,0.1526515151515148,0.35,True,3.0,I,unclassified,False
day1,126,0.2909722222222221,0.7,True,0.0,E,unclassified,False
day2,1,0.4758333333333333,0.75,True,2.0,E,E,True
day2,2,0.5041666666666668,0.9,True,2.0,E,E,True
day2,3,0.2940476190476189,0.95,True,2.0,E,E,True
day2,4,0.05,0.05,True,1.0,I,E,True
day2,5,0.1440740740740739,0.25,True,1.0,I,I,True
day2,6,0.05,0.3,True,1.0,I,I,True
day2,7,0.3458333333333332,0.6,True,0.0,E,E,True
day2,8,0.1525000000000002,0.25,True,1.0,I,I,True
day2,9,0.2551282051282051,0.5,True,0.0,E,I,True
day2,10,0.2706293706293706,0.5,True,0.0,E,E,True
day2,11,0.3357142857142857,0.55,True,0.0,E,E,True
day2,12,0.1654304029304029,0.3,True,1.0,I,I,True
day2,13,0.3,0.55,True,0.0,E,E,True
day2,14,,,False,,unclassified,E,True
day2,15,0.55,0.55,True,2.0,E,E,True
day2,16,0.2703225806451613,0.65,True,0.0,E,E,True
day2,17,0.2,0.3,True,1.0,I,I,True
day2,18,,,False,,unclassified,E,True
day2,19,0.2402046783625731,0.4,True,0.0,E,I,True
day2,20,0.2,0.25,True,1.0,I,E,True
day2,21,0.2,0.25,True,1.0,I,E,True
day2,22,0.299715909090909,0.45,True,0.0,E,E,True
day2,23,0.2727272727272727,0.5,True,0.0,E,I,True
day2,24,0.2625506072874493,0.45,True,0.0,E,I,True
day2,25,0.1945512820512821,0.4,True,1.0,I,I,True
day2,26,0.05,0.1,True,1.0,I,I,True
day2,27,0.15,0.15,True,1.0,I,E,True
day2,28,0.1881250000000001,0.3,True,1.0,I,I,True
day2,29,0.05,0.55,True,1.0,I,E,True
day2,30,0.3375,0.45,True,0.0,E,E,True
day2,31,0.2625,0.45,True,0.0,E,E,True
day3,1,0.2316666666666666,0.45,True,0.0,I,I,True
day3,2,0.323611111111111,0.7,True,1.0,E,E,True
day3,3,0.1007765151515151,0.2,True,0.0,I,I,True
day3,4,0.2814327485380115,0.85,True,1.0,E,E,True
day3,5,0.2875,0.9,True,1.0,E,E,True
day3,6,0.3925,0.8,True,1.0,E,E,True
day3,7,0.2797619047619047,0.7,True,1.0,E,E,True
day3,8,0.2049278846153846,0.3,True,0.0,I,I,True
day3,9,0.26875,0.4,True,0.0,I,I,True
day3,10,0.3170833333333334,0.8,True,1.0,E,E,True
day3,11,0.255,0.45,True,0.0,I,I,True
day3,12,0.35,0.65,True,1.0,E,E,True
day3,13,0.35,0.65,True,1.0,E,E,True
day3,14,0.214375,0.45,True,0.0,I,E,True
day3,15,0.2071428571428573,0.45,True,0.0,I,I,True
day3,16,0.221875,0.45,True,0.0,I,I,True
day3,17,0.1735645933014353,0.3,True,0.0,I,I,True
day3,18,0.2294642857142858,0.65,True,0.0,I,E,True
day3,19,0.1456575682382133,0.35,True,0.0,I,I,True
day3,20,0.1967236467236467,0.5,True,0.0,I,I,True
day3,21,0.4114583333333332,0.7,True,1.0,E,E,True
day3,22,0.3375,1.05,True,1.0,E,E,True
day3,23,0.2800000000000001,0.6,True,1.0,E,E,True
day3,24,0.2600000000000001,0.8,True,1.0,E,E,True
day3,25,0.2294871794871792,0.5,True,0.0,I,I,True
day3,26,0.1951136363636362,0.45,True,0.0,I,I,True
day3,27,0.2290598290598289,0.45,True,0.0,I,E,True
day3,28,0.1949404761904762,0.45,True,0.0,I,I,True
day3,29,0.1798872180451127,0.3,True,0.0,I,I,True
day3,30,0.2569444444444446,0.45,True,0.0,I,I,True
day3,31,0.1404040404040405,1.2,True,1.0,E,E,True
day3,32,0.2446428571428572,0.7,True,1.0,E,E,True
day3,33,0.1462499999999998,0.2,True,0.0,I,I,True
day3,34,0.1762499999999999,0.3,True,0.0,I,I,True
day3,35,0.1180952380952383,0.25,True,0.0,I,I,True
day3,36,0.1714285714285715,0.35,True,0.0,I,I,True
day3,37,0.2294507575757577,0.4,True,0.0,I,I,True
day3,38,0.1583333333333332,0.6,True,0.0,I,E,True
day3,39,0.2199999999999999,1.0,True,1.0,E,E,True
day3,40,0.1314529914529913,0.2,True,0.0,I,I,True
day3,41,0.1464646464646467,0.25,True,0.0,I,I,True
day3,42,0.2068080357142857,0.5,True,0.0,I,I,True
day3,43,0.2916666666666668,0.9,True,1.0,E,E,True
day3,44,0.4267857142857142,0.85,True,1.0,E,E,True
day3,45,0.309375,0.95,True,1.0,E,E,True
day3,46,0.327596153846154,0.75,True,1.0,E,E,True
day3,47,0.275,0.45,True,0.0,I,I,True
day4,1,0.1462499999999998,0.45,True,4.0,I,I,True
day4,2,0.1720073812580231,0.6,True,0.0,E,E,True
day4,3,0.1012609238451933,0.2,True,4.0,I,I,True
day4,4,0.1678977272727273,0.25,True,4.0,I,I,True
day4,5,0.2052083333333332,0.4,True,0.0,E,I,True
day4,6,0.1260416666666668,0.25,True,4.0,I,I,True
day4,7,0.1178006329113923,0.2,True,4.0,I,I,True
day4,8,0.2115056818181816,0.45,True,0.0,E,E,True
day4,9,0.1333333333333332,0.2,True,4.0,I,I,True
day4,10,0.165625,0.3,True,4.0,I,I,True
day4,11,0.1848297213622292,0.25,True,4.0,I,I,True
day4,12,0.2055555555555553,0.4,True,0.0,E,E,True
day4,13,,,False,,unclassified,E,True
day4,14,,,False,,unclassified,E,True
day4,15,0.1146820761014687,0.35,True,4.0,I,I,True
day4,16,0.2024767801857585,0.3,True,4.0,I,I,True
day4,17,0.0876096491228072,0.35,True,4.0,I,I,True
day4,18,0.4619791666666668,1.15,True,1.0,E,E,True
day4,19,0.2402777777777774,0.35,True,0.0,E,I,True
day4,20,0.1512152777777778,0.45,True,4.0,I,I,True
day4,21,0.25625,0.6,True,0.0,E,E,True
day4,22,0.1416666666666667,0.25,True,4.0,I,I,True
day4,23,0.5125000000000001,0.85,True,1.0,E,E,True
day4,24,0.3125,0.6,True,0.0,E,E,True
day4,25,,,False,,unclassified,E,True
day4,26,0.55,0.8,True,1.0,E,E,True
day4,27,0.2166666666666667,0.85,True,3.0,E,E,True
day4,28,0.35,0.45,True,0.0,E,E,True
day4,29,0.4,0.85,True,1.0,E,E,True
day4,30,0.2307692307692306,1.1,True,3.0,E,E,True
day4,31,0.1770833333333332,0.6,True,0.0,E,E,True
day4,32,0.1533333333333331,0.95,True,3.0,E,E,True
day4,33,0.1918181818181818,0.55,True,0.0,E,I,True
day4,34,0.2462962962962962,0.5,True,0.0,E,I,True
day4,35,0.2643939393939394,0.55,True,0.0,E,E,True
day4,36,0.4532967032967033,0.75,True,1.0,E,E,True
day4,37,0.1683035714285715,0.6,True,0.0,E,E,True
day4,38,0.3255639097744364,0.55,True,0.0,E,E,True
day4,39,0.3092116013071894,0.6,True,0.0,E,E,True
day4,40,0.2522685185185185,0.45,True,0.0,E,E,True
day4,41,0.2450967741935482,0.45,True,0.0,E,I,True
day4,42,0.2364583333333332,0.4,True,0.0,E,I,True
day4,43,0.2858422939068102,0.4,True,0.0,E,I,True
day4,44,0.9333333333333332,0.5,True,2.0,E,I,True
day4,45,0.252840909090909,0.8,True,3.0,E,E,True
day4,46,0.4100000000000001,1.0,True,1.0,E,E,True
day4,47,0.1714285714285715,0.45,True,0.0,E,I,True
day4,48,0.1589976780185757,0.35,True,4.0,I,I,True
day4,49,0.2491600790513835,0.75,True,3.0,E,E,True
day4,50,0.2388392857142857,0.7,True,3.0,E,E,True
day4,51,0.3199999999999999,1.45,True,5.0,E,E,True
day4,52,0.4870879120879121,0.95,True,1.0,E,E,True
day4,53,0.2604166666666668,0.7,True,3.0,E,E,True
day4,54,0.3284722222222221,0.95,True,3.0,E,E,True
day4,55,0.2345238095238095,0.5,True,0.0,E,I,True
day4,56,0.2568181818181816,0.6,True,0.0,E,E,True
day4,57,0.3645721925133688,0.4,True,0.0,E,E,True
day4,58,0.2060224089635856,0.5,True,0.0,E,I,True
day4,59,0.123809523809524,0.25,True,4.0,I,I,True
day4,60,0.55,0.85,True,1.0,E,E,True
day4,61,0.3604166666666668,0.55,True,0.0,E,E,True
day5,1,0.38,1.1,True,1.0,E,E,True
day5,2,0.3150793650793648,0.55,True,2.0,E,E,True
day5,3,0.339375,0.65,True,5.0,E,E,True
day5,4,0.3649305555555557,0.55,True,5.0,E,I,True
day5,5,0.22546992481203,0.4,True,3.0,E,I,True
day5,6,0.1310782241014798,0.35,True,0.0,I,I,True
