"","VM-thalamus","PVH","AH","DMH"
"VM-thalamus",0,0.521428571428571,0.714285714285714,0.642857142857143
"PVH",0.821428571428571,0,0.8,0.783333333333333
"AH",1,1,0,1
"DMH",0.904761904761905,0.891666666666667,1,0
