"","PH","MC","PVH","ARH","DMH"
"PH",0,0.25,0.25,0.306122448979592,0.285714285714286
"MC",0.222222222222222,0,0.305555555555556,0.365079365079365,0.375
"PVH",0.232142857142857,0.194444444444444,0,0.357142857142857,0.375
"ARH",0.357142857142857,0.357142857142857,0.321428571428571,0,0.464285714285714
"DMH",0.285714285714286,0.319444444444444,0.4375,0.428571428571429,0
