"animal","condition","source","target","density"
"night7","lightON","VM-thalamus","PH",0.158730158730159
"night7","lightON","VM-thalamus","DMH",0.12807881773399
"night7","lightON","VM-thalamus","VMH",0.19047619047619
"night7","lightON","VM-thalamus","ARH",0.0317460317460317
"night7","lightON","VM-thalamus","ZI",0.128571428571429
"night7","lightON","PH","VM-thalamus",0.174603174603175
"night7","lightON","PH","DMH",0.293103448275862
"night7","lightON","PH","VMH",0.388888888888889
"night7","lightON","PH","ARH",0.141975308641975
"night7","lightON","PH","ZI",0.255555555555556
"night7","lightON","DMH","VM-thalamus",0.147783251231527
"night7","lightON","DMH","PH",0.254789272030651
"night7","lightON","DMH","VMH",0.431034482758621
"night7","lightON","DMH","ARH",0.130268199233716
"night7","lightON","DMH","ZI",0.220689655172414
"night7","lightON","VMH","VM-thalamus",0.19047619047619
"night7","lightON","VMH","PH",0.361111111111111
"night7","lightON","VMH","DMH",0.396551724137931
"night7","lightON","VMH","ARH",0.203703703703704
"night7","lightON","VMH","ZI",0.3
"night7","lightON","ARH","VM-thalamus",0.0634920634920635
"night7","lightON","ARH","PH",0.0987654320987654
"night7","lightON","ARH","DMH",0.122605363984674
"night7","lightON","ARH","VMH",0.203703703703704
"night7","lightON","ARH","ZI",0.0666666666666667
"night7","lightON","ZI","VM-thalamus",0.114285714285714
"night7","lightON","ZI","PH",0.25
"night7","lightON","ZI","DMH",0.189655172413793
"night7","lightON","ZI","VMH",0.316666666666667
"night7","lightON","ZI","ARH",0.1
