"animal","condition","source","target","density"
"night2","ongoing","VM-thalamus","VMH",0.32967032967033
"night2","ongoing","VM-thalamus","PVH",0.282051282051282
"night2","ongoing","VM-thalamus","DMH",0.384615384615385
"night2","ongoing","VM-thalamus","AH",0.142857142857143
"night2","ongoing","VMH","VM-thalamus",0.395604395604396
"night2","ongoing","VMH","PVH",0.333333333333333
"night2","ongoing","VMH","DMH",0.428571428571429
"night2","ongoing","VMH","AH",0.326530612244898
"night2","ongoing","PVH","VM-thalamus",0.153846153846154
"night2","ongoing","PVH","VMH",0.428571428571429
"night2","ongoing","PVH","DMH",0.333333333333333
"night2","ongoing","PVH","AH",0.19047619047619
"night2","ongoing","DMH","VM-thalamus",0.519230769230769
"night2","ongoing","DMH","VMH",0.571428571428571
"night2","ongoing","DMH","PVH",0.5
"night2","ongoing","DMH","AH",0.392857142857143
"night2","ongoing","AH","VM-thalamus",0.208791208791209
"night2","ongoing","AH","VMH",0.244897959183673
"night2","ongoing","AH","PVH",0.285714285714286
"night2","ongoing","AH","DMH",0.321428571428571
