"","VM-thalamus","PH","DMH","PVH"
"VM-thalamus",0,0.292929292929293,0.133333333333333,0.777777777777778
"PH",0.262626262626263,0,0.2,1
"DMH",0.122222222222222,0.218181818181818,0,0.4
"PVH",0.777777777777778,1,0.5,0
