"animal","condition","source","target","density"
"180420","lightON","DMH","PH",1
"180420","lightON","DMH","MC",0.923076923076923
"180420","lightON","DMH","PVH",0.368421052631579
"180420","lightON","PH","DMH",1
"180420","lightON","PH","MC",0.924615384615385
"180420","lightON","PH","PVH",0.36
"180420","lightON","MC","DMH",1
"180420","lightON","MC","PH",0.967692307692308
"180420","lightON","MC","PVH",0.350202429149798
"180420","lightON","PVH","DMH",1
"180420","lightON","PVH","PH",0.989473684210526
"180420","lightON","PVH","MC",0.951417004048583
