"animal","condition","source","target","density"
"171208","ongoing_bis","VM-thalamus","VMH",0
"171208","ongoing_bis","VM-thalamus","PVH",0
"171208","ongoing_bis","VM-thalamus","DMH",0.0192307692307692
"171208","ongoing_bis","VM-thalamus","AH",0
"171208","ongoing_bis","VMH","VM-thalamus",0
"171208","ongoing_bis","VMH","PVH",0
"171208","ongoing_bis","VMH","DMH",0
"171208","ongoing_bis","VMH","AH",0
"171208","ongoing_bis","PVH","VM-thalamus",0
"171208","ongoing_bis","PVH","VMH",0
"171208","ongoing_bis","PVH","DMH",0
"171208","ongoing_bis","PVH","AH",0
"171208","ongoing_bis","DMH","VM-thalamus",0
"171208","ongoing_bis","DMH","VMH",0
"171208","ongoing_bis","DMH","PVH",0
"171208","ongoing_bis","DMH","AH",0
"171208","ongoing_bis","AH","VM-thalamus",0
"171208","ongoing_bis","AH","VMH",0
"171208","ongoing_bis","AH","PVH",0
"171208","ongoing_bis","AH","DMH",0
