"animal","condition","source","target","density"
"171207","lightON","VM-thalamus","PVH",0.892307692307692
"171207","lightON","VM-thalamus","AH",0.846153846153846
"171207","lightON","VM-thalamus","DMH",0.0769230769230769
"171207","lightON","PVH","VM-thalamus",0.915384615384615
"171207","lightON","PVH","AH",0.8
"171207","lightON","PVH","DMH",0.075
"171207","lightON","AH","VM-thalamus",0.923076923076923
"171207","lightON","AH","PVH",0.9
"171207","lightON","AH","DMH",0.125
"171207","lightON","DMH","VM-thalamus",1
"171207","lightON","DMH","PVH",0.9
"171207","lightON","DMH","AH",0.75
