"animal","condition","source","target","density"
"180110","ongoing_bis","VM-thalamus","PVH",0.258503401360544
"180110","ongoing_bis","VM-thalamus","AH",0.285714285714286
"180110","ongoing_bis","VM-thalamus","DMH",0.380952380952381
"180110","ongoing_bis","PVH","VM-thalamus",0.292517006802721
"180110","ongoing_bis","PVH","AH",0.238095238095238
"180110","ongoing_bis","PVH","DMH",0.198412698412698
"180110","ongoing_bis","AH","VM-thalamus",0
"180110","ongoing_bis","AH","PVH",0
"180110","ongoing_bis","AH","DMH",0.166666666666667
"180110","ongoing_bis","DMH","VM-thalamus",0.428571428571429
"180110","ongoing_bis","DMH","PVH",0.26984126984127
"180110","ongoing_bis","DMH","AH",0.666666666666667
