"","VM-thalamus","VMH","PVH","DMH","AH"
"VM-thalamus",0,0.021978021978022,0.0256410256410256,0.0384615384615385,0.021978021978022
"VMH",0.032967032967033,0,0.0476190476190476,0,0.0408163265306122
"PVH",0.0256410256410256,0,0,0,0.0476190476190476
"DMH",0,0,0,0,0
"AH",0.010989010989011,0,0,0,0
