"","VM-thalamus","PH","DMH","PVH"
"VM-thalamus",0,0.868686868686869,0.855555555555556,0.888888888888889
"PH",0.616161616161616,0,0.572727272727273,0.727272727272727
"DMH",0.944444444444444,1,0,1
"PVH",0.111111111111111,0.181818181818182,0.4,0
