"","VMH","MC","DMH","PH"
"VMH",0,0.366666666666667,0.328947368421053,0.263888888888889
"MC",0.366666666666667,0,0.491228070175439,0.492592592592593
"DMH",0.421052631578947,0.473684210526316,0,0.447368421052632
"PH",0.277777777777778,0.47037037037037,0.467836257309941,0
