"","DMH","PH","MC","PVH"
"DMH",0,0.92,0.769230769230769,1
"PH",0.8,0,0.22,0.32
"MC",0.730769230769231,0.226153846153846,0,0.331983805668016
"PVH",1,0.32,0.360323886639676,0
