"","VM-thalamus","PVH","AH","DMH"
"VM-thalamus",0,0.231292517006803,0.428571428571429,0.0714285714285714
"PVH",0.204081632653061,0,0.476190476190476,0.126984126984127
"AH",0.428571428571429,0.428571428571429,0,0
"DMH",0.166666666666667,0.150793650793651,0.166666666666667,0
