animal,day_night,n_neurons,frac_connected,frac_triangles,null_mean,null_std,z_score_connected
171019,D,126,0.9925,0.482,0.43623999999999996,0.006345265951873102,87.66535622290094
171207,N,31,0.9971078976640712,0.396440489432703,0.4488765294771969,0.009527848268403555,57.53989282185888
171208,N,34,0.9503676470588235,0.3499331550802139,0.41314381270903006,0.008430548562147974,63.723473080014756
171213,N,33,0.9963343108504399,0.44483137829912023,0.438295142071494,0.006672097345522978,83.63774385776819
180110,N,34,0.9908088235294118,0.415274064171123,0.4444816053511705,0.005608866164297131,97.40421721164454
180111,N,24,0.9757905138339921,0.3241106719367589,0.43584158415841584,0.015614398177579421,34.580194736604334
180131,D,31,0.9937708565072303,0.38553948832035595,0.4411123470522802,0.009200017978721362,60.071459722490644
180221,N,53,0.9878,0.4232,0.4375900000000001,0.005068224541197839,108.56069922071006
180228,N,79,0.9721,0.4189,0.42434999999999995,0.005779489596841581,94.77480507955902
180302,D,46,0.9106,0.2813,0.3751899999999999,0.007969874528497931,67.17922573128737
180419,D,61,0.9805,0.3937,0.42733,0.005485991250448733,100.83319034727823
180420,D,71,0.9921,0.4484,0.43811,0.004869589305064652,113.76524082304408
180423,D,56,0.9902,0.4178,0.4368,0.006245798587850882,88.60356161283443
