"","VM-thalamus","DMH","PVH","VMH"
"VM-thalamus",0,0.359477124183007,0.306878306878307,0.419753086419753
"DMH",0.196078431372549,0,0.0840336134453782,0.431372549019608
"PVH",0.153439153439153,0,0,0.0476190476190476
"VMH",0.296296296296296,0.215686274509804,0.0952380952380952,0
