"","VM-thalamus","DMH","PVH","VMH"
"VM-thalamus",0,0.0217864923747277,0.0476190476190476,0.0246913580246914
"DMH",0.0305010893246187,0,0,0.0196078431372549
"PVH",0.0105820105820106,0.00840336134453781,0,0
"VMH",0,0,0,0
